filename,total_pages,max_page_num,mean_vector,max_vector,file_url,hover_text,mean_umap_1,mean_umap_2,max_umap_1,max_umap_2,cluster_mean,cluster_max,cluster_label_mean,cluster_label_max
0000005475,1,1,,,https://pdf.hres.ca/noc_pm/0000005475.PDF,Document: 0000005475<br>Pages: 1<br>Click to open file,-1.0836028402786932,7.997443577670352,-9.615638281135654,7.06577392813856,2,2,Cluster 2,Cluster 2
0000005479,1,1,,,https://pdf.hres.ca/noc_pm/0000005479.PDF,Document: 0000005479<br>Pages: 1<br>Click to open file,-1.8682874983292304,8.658163449191349,-9.013645674018955,7.778928720924204,2,2,Cluster 2,Cluster 2
0000005546,1,1,,,https://pdf.hres.ca/noc_pm/0000005546.PDF,Document: 0000005546<br>Pages: 1<br>Click to open file,-1.3826121633988104,9.2361635178559,-8.565982366829013,7.362986528846568,2,2,Cluster 2,Cluster 2
0000005756,1,1,,,https://pdf.hres.ca/noc_pm/0000005756.PDF,Document: 0000005756<br>Pages: 1<br>Click to open file,-1.0578166788559638,9.528380772494572,-8.28220703723917,7.09055420157606,2,2,Cluster 2,Cluster 2
0000005848,1,1,,,https://pdf.hres.ca/noc_pm/0000005848.PDF,Document: 0000005848<br>Pages: 1<br>Click to open file,-1.4496316259842597,9.435723683261173,-8.537879492073154,7.384805643531626,2,2,Cluster 2,Cluster 2
0000005885,1,1,,,https://pdf.hres.ca/noc_pm/0000005885.PDF,Document: 0000005885<br>Pages: 1<br>Click to open file,-1.470252687309333,9.189333340548771,-8.60042050006876,7.472442591163462,2,2,Cluster 2,Cluster 2
0000005944,1,1,,,https://pdf.hres.ca/noc_pm/0000005944.PDF,Document: 0000005944<br>Pages: 1<br>Click to open file,-1.7718796080094061,8.657140156649845,-9.126395727424716,7.859048807594126,2,2,Cluster 2,Cluster 2
0000006014,1,1,,,https://pdf.hres.ca/noc_pm/0000006014.PDF,Document: 0000006014<br>Pages: 1<br>Click to open file,-1.1207401102524481,9.032335659884708,-8.691961790351963,7.262085878822154,2,2,Cluster 2,Cluster 2
0000006016,1,1,,,https://pdf.hres.ca/noc_pm/0000006016.PDF,Document: 0000006016<br>Pages: 1<br>Click to open file,-0.9163069075089179,8.979235073947208,-8.824651266365146,7.017606699439829,2,2,Cluster 2,Cluster 2
0000006203,1,1,,,https://pdf.hres.ca/noc_pm/0000006203.PDF,Document: 0000006203<br>Pages: 1<br>Click to open file,-1.7285081690293036,8.965054890536564,-8.97649529102335,7.7761001229017435,2,2,Cluster 2,Cluster 2
0000006215,1,1,,,https://pdf.hres.ca/noc_pm/0000006215.PDF,Document: 0000006215<br>Pages: 1<br>Click to open file,-1.9782139605026923,8.788818737887638,-9.08749439838419,7.858549082252329,2,2,Cluster 2,Cluster 2
0000006255,1,1,,,https://pdf.hres.ca/noc_pm/0000006255.PDF,Document: 0000006255<br>Pages: 1<br>Click to open file,-1.8403438871842108,8.535461804293888,-9.10831501605997,7.7416152596204935,2,2,Cluster 2,Cluster 2
0000006493,1,1,,,https://pdf.hres.ca/noc_pm/0000006493.PDF,Document: 0000006493<br>Pages: 1<br>Click to open file,-1.071406776283332,8.924816510104435,-8.829338575630283,7.053709948036021,2,2,Cluster 2,Cluster 2
0000006688,1,1,,,https://pdf.hres.ca/noc_pm/0000006688.PDF,Document: 0000006688<br>Pages: 1<br>Click to open file,-1.0095192736130438,8.326469799899357,-9.132893110542392,7.000120127174204,2,2,Cluster 2,Cluster 2
0000006728,1,1,,,https://pdf.hres.ca/noc_pm/0000006728.PDF,Document: 0000006728<br>Pages: 1<br>Click to open file,-0.7412368601303778,8.906121632479923,-8.890461469917392,6.535420381995982,2,2,Cluster 2,Cluster 2
0000006760,1,1,,,https://pdf.hres.ca/noc_pm/0000006760.PDF,Document: 0000006760<br>Pages: 1<br>Click to open file,-1.4274784868698798,9.308033368014591,-8.489990736274814,7.3697585701673685,2,2,Cluster 2,Cluster 2
0000006856,1,1,,,https://pdf.hres.ca/noc_pm/0000006856.PDF,Document: 0000006856<br>Pages: 1<br>Click to open file,-0.7436711138230048,9.437468907260197,-8.407712484626865,6.64065595862562,2,2,Cluster 2,Cluster 2
0000006945,1,1,,,https://pdf.hres.ca/noc_pm/0000006945.PDF,Document: 0000006945<br>Pages: 1<br>Click to open file,0.5478497797507562,5.3642095536225005,-5.790069128303623,4.977515661689585,3,3,Cluster 3,Cluster 3
0000007041,1,1,,,https://pdf.hres.ca/noc_pm/0000007041.PDF,Document: 0000007041<br>Pages: 1<br>Click to open file,-1.3573438471298895,9.340673825167912,-8.548949743537998,7.385666811439341,2,2,Cluster 2,Cluster 2
0000007062,1,1,,,https://pdf.hres.ca/noc_pm/0000007062.PDF,Document: 0000007062<br>Pages: 1<br>Click to open file,0.6580639535445489,5.494267365359561,-5.940228010444736,5.1237682938306985,3,3,Cluster 3,Cluster 3
0000007102,1,1,,,https://pdf.hres.ca/noc_pm/0000007102.PDF,Document: 0000007102<br>Pages: 1<br>Click to open file,-0.47957616505438905,9.222449681185978,-8.647474790840244,6.4227957367628274,2,2,Cluster 2,Cluster 2
0000007132,1,1,,,https://pdf.hres.ca/noc_pm/0000007132.PDF,Document: 0000007132<br>Pages: 1<br>Click to open file,-0.4048990553360663,9.193642041110294,-8.699168707161045,6.390149557563609,2,2,Cluster 2,Cluster 2
0000007232,1,1,,,https://pdf.hres.ca/noc_pm/0000007232.PDF,Document: 0000007232<br>Pages: 1<br>Click to open file,-1.0414285009842597,9.61523952188422,-8.201110388069248,6.983489000770396,2,2,Cluster 2,Cluster 2
0000007267,1,1,,,https://pdf.hres.ca/noc_pm/0000007267.PDF,Document: 0000007267<br>Pages: 1<br>Click to open file,-1.0467707460861884,9.544678112887638,-8.277948881416416,7.102548563453501,2,2,Cluster 2,Cluster 2
0000007285,1,1,,,https://pdf.hres.ca/noc_pm/0000007285.PDF,Document: 0000007285<br>Pages: 1<br>Click to open file,-0.9308583086472235,9.383528134249943,-8.403282667427158,7.052609407874888,2,2,Cluster 2,Cluster 2
0000007357,1,1,,,https://pdf.hres.ca/noc_pm/0000007357.PDF,Document: 0000007357<br>Pages: 1<br>Click to open file,-0.8824211901169501,9.514718434237736,-8.184093023567295,7.300069773170298,2,2,Cluster 2,Cluster 2
0000007379,1,1,,,https://pdf.hres.ca/noc_pm/0000007379.PDF,Document: 0000007379<br>Pages: 1<br>Click to open file,0.60312009396737,5.371779343508975,-5.842542196540927,5.034267866584605,3,3,Cluster 3,Cluster 3
0000007588,1,1,,,https://pdf.hres.ca/noc_pm/0000007588.PDF,Document: 0000007588<br>Pages: 1<br>Click to open file,-0.5548109358292304,9.349809071444767,-8.526535536079502,6.544612371894663,2,2,Cluster 2,Cluster 2
0000007934,1,1,,,https://pdf.hres.ca/noc_pm/0000007934.PDF,Document: 0000007934<br>Pages: 1<br>Click to open file,-0.5279185121994696,9.251024624728458,-8.642973448066806,6.402004682990855,2,2,Cluster 2,Cluster 2
0000007952,1,1,,,https://pdf.hres.ca/noc_pm/0000007952.PDF,Document: 0000007952<br>Pages: 1<br>Click to open file,-1.0821966474991522,8.60319461526801,-9.060817266731357,6.991598093482798,2,2,Cluster 2,Cluster 2
0000008053,1,1,,,https://pdf.hres.ca/noc_pm/0000008053.PDF,Document: 0000008053<br>Pages: 1<br>Click to open file,-0.825355464790412,9.096030613803165,-8.749354864387607,6.77478214499647,2,2,Cluster 2,Cluster 2
0000008156,1,1,,,https://pdf.hres.ca/noc_pm/0000008156.PDF,Document: 0000008156<br>Pages: 1<br>Click to open file,-1.2388321703415595,8.54949416818549,-9.205223585395908,7.318505251380747,2,2,Cluster 2,Cluster 2
0000008266,1,1,,,https://pdf.hres.ca/noc_pm/0000008266.PDF,Document: 0000008266<br>Pages: 1<br>Click to open file,-0.8995465582352362,9.440531155490177,-8.383737112312412,6.863980257484263,2,2,Cluster 2,Cluster 2
0000008395,1,1,,,https://pdf.hres.ca/noc_pm/0000008395.PDF,Document: 0000008395<br>Pages: 1<br>Click to open file,-1.0482289141159735,9.528903386019962,-8.238576437263584,6.994335138770884,2,2,Cluster 2,Cluster 2
0000008440,1,1,,,https://pdf.hres.ca/noc_pm/0000008440.PDF,Document: 0000008440<br>Pages: 1<br>Click to open file,-0.6190211122971259,9.154178044223087,-8.644056822090244,6.4782485604017435,2,2,Cluster 2,Cluster 2
